Relationship,Sentence_Id,Sentence
P,8,"He (Winston) has also become fixated on a powerful Party member named O'Brien, whom Winston believes is a secret member of the Brotherhood--the mysterious, legendary group that works to overthrow the Party"
P,20,"At last, he (Winston) receives the message that he (Winston) has been waiting for: O'Brien wants to see him (OBrien)"
P,21,Winston and Julia travel to O'Brien's luxurious apartment
P,22,"As a member of the powerful Inner Party -LRB-Winston belongs to the Outer Party-RRB-, O'Brien leads a life of luxury that Winston can only imagine"
P,23,"O'Brien confirms to Winston and Julia that, like them, he (Winston) hates the Party, and says that he (Winston) works against it as a member of the Brotherhood"
P,29,"Torn away from Julia and taken to a place called the Ministry of Love, Winston finds that O'Brien, too, is a Party spy who simply pretended to be a member of the Brotherhood in order to trap Winston into committing an open act of rebellion against the Party"
P,30,"O'Brien spends months torturing and brainwashing Winston, who struggles to resist"
N,32,"Here, O'Brien tells Winston that he (Winston) will be forced to confront his (Winston) worst fear"
N,33,"Throughout the novel, Winston has had recurring nightmares about rats; O'Brien now straps a cage full of rats onto Winston's head and prepares to allow the rats to eat his (Winston) face"
P,34,"Winston snaps, pleading with O'Brien to do it to Julia, not to him (Winston)"
P,35,Giving up Julia is what O'Brien wanted from Winston all along
