Relationship,Sentence_Id,Sentence
P,1,"The story begins when King Robert visits the northern castle Winterfell to ask Ned Stark to be his (Stark) right-hand assistant, or Hand of the King"
P,5,"She (wife) tells Ned, who accepts the position as Hand in order to protect Robert from the Lannisters"
P,8,"While Bran is still unconscious, Ned leaves Winterfell and rides south with Robert"
P,17,"On the trip south to the capital, called King's Landing, Robert's and Cersei's son, Joffrey, and Ned's daughter Sansa, who everyone presumes will be married one day, go for a walk"
P,30,He (Ned) knows it has to do with something the Hand learned about King Robert's children
N,33,"Disgusted with Robert's plan, Ned resigns as Hand"
P,36,"The following day, Robert reinstates Ned as hand"
P,37,"While Robert is gone hunting, Ned orders the execution of a rogue knight loyal to the Lannister family who has been pillaging villages"
P,46,"In King's Landing, Ned has figured out why the Hand was killed: he (Ned) had discovered that Joffrey was not really Robert's child but was actually the product of Cersei's sexual relationship with her (knight) brother, Jaime"
P,48,"Robert is mortally wounded in a hunt, and before he (Robert) dies, he (Robert) names Ned the Protector of the Realm, essentially an interim king, until Joffrey comes of age"
P,49,"Ned does not tell Robert that he (Ned) knows Joffrey is not the true heir, since he (Ned) is the son of Cersei and Jaime"
P,50,"Ned asks Littlefinger's help to install the true heir, Robert's brother Stannis, as the king, and Littlefinger agrees"
