Relationship,Sentence_Id,Sentence
P,0,"Mark Antony, one of the three rulers of the Roman Empire, spends his (Roman) time in Egypt, living a life of decadence and conducting an affair with the country's beautiful queen, Cleopatra"
P,3,Caesar condemns Antony for neglecting his (Caesar) duties as a statesman and military officer in order to live a decadent life by Cleopatra's side
P,7,"Enobarbus, Antony's closest friend, predicts to Caesar's men that, despite the marriage, Antony will surely return to Cleopatra"
P,8,"In Egypt, Cleopatra learns of Antony's marriage and flies into a jealous rage"
P,9,"However, when a messenger delivers word that Octavia is plain and unimpressive, Cleopatra becomes confident that she (Cleopatra) will win Antony back"
P,21,"Antony dispatches her (Octavia) to Rome on a peace mission, and quickly returns to Egypt and Cleopatra"
P,24,"Ignoring all advice to the contrary, Antony elects to fight him (Antony) at sea, allowing Cleopatra to command a ship despite Enobarbus's strong objections"
P,25,"Antony's forces lose the battle when Cleopatra's ship flees and Antony's follows, leaving the rest of the fleet vulnerable"
P,26,"Antony despairs, condemning Cleopatra for leading him (Antony) into infamy but quickly forgiving her (Cleopatra)"
P,27,"He (Antony) and Cleopatra send requests to their conqueror: Antony asks to be allowed to live in Egypt, while Cleopatra asks that her (Cleopatra) kingdom be passed down to her (Cleopatra) rightful heirs"
P,28,"Caesar dismisses Antony's request, but he (Antony) promises Cleopatra a fair hearing if she (Cleopatra) betrays her (Cleopatra) lover"
P,29,"Cleopatra seems to be giving thought to Caesar's message when Antony barges in, curses her (Cleopatra) for her (Cleopatra) treachery, and orders the innocent messenger whipped"
P,30,"When, moments later, Antony forgives Cleopatra, Enobarbus decides that his (Antony) master is finished and defects to Caesar's camp"
P,33,He (Antony) sends his (Antony) friend's possessions to Caesar's camp and returns to Cleopatra to celebrate his (Caesar) victory
P,37,"Convinced that his (Antony) lover has betrayed him (Antony), Antony vows to kill Cleopatra"
P,43,"He (Antony) is carried to Cleopatra's monument, where the lovers are reunited briefly before Antony's death"
P,45,Caesar has her (Cleopatra) buried beside Antony
