Relationship,Sentence_Id,Sentence
P,12,"Lincoln looks restless, so Charlie changes the subject"
P,24,She (woman) says she (woman) prefers Lincoln to Marion and asks why she (Marion) can't live with Charlie
P,31,"In Part III, Charlie meets with Marion and Lincoln"
P,34,"Marion doesn't understand this, but Lincoln claims that he (Lincoln) understands Charlie"
P,39,He (Charlie) stresses that he (Charlie) will be able to give Honoria a good life and then realizes that Marion and Lincoln don't want to hear about how much wealthier he (Lincoln) is than they are
P,46,Lincoln tells Charlie that he (Charlie) can take Honoria
P,53,Charlie interviews two potential governesses and then eats lunch with Lincoln
P,54,He (Charlie) says Marion resents the fact that Charlie and Helen were spending a fortune while she (Marion) and Lincoln were just scraping along
P,57,Charlie goes to Marion and Lincoln's house in the afternoon
P,65,"When he (Lincoln) comes back, he (Lincoln) tells Charlie that the plans have changed"
P,69,"He (Charlie) calls Lincoln, who says that for six months, they have to drop the question of Honoria living with Charlie"
