Relationship,Sentence_Id,Sentence
P,0,"When Sam Meeker returns home from college in the spring of 1775 and announces that he (Sam) has decided to enlist in the Rebel army, his (Sam) parents are appalled, but his (Sam) younger brother, Tim, is wide-eyed with admiration"
P,1,"When the brothers are outside together doing chores around their family's tavern, Sam confides in Tim his (Sam) plan to steal their father's gun in order to fight"
P,2,"Tim protests, but he (Tim) can do nothing to stop Sam"
P,5,"The next morning after church, Tim visits Sam in a hut where he (Sam) is hiding out"
P,7,"In the hut, Sam's girlfriend Betsy Read asks Tim which side he (Tim) supports, and Tim has trouble deciding between his (Tim) Father's loyalty to the British government and his (Tim) brother's loyalty to the idea of an independent nation"
P,9,"Sam leaves, and after several months Betsy notifies Tim that Sam has returned"
P,10,"Tim finds an excuse to visit his (Tim) brother when Rebel soldiers enter his (Tim) house and violently demand his (Tim) father's gun, which is with Sam"
P,11,"Tim runs to Sam's hideout, steals the gun and runs, but is soon over taken by Sam"
P,15,"Tim's father says no, but Tim, hoping for a taste of the kind of adventure that Sam is having, sneaks away to do it"
P,21,"Because of this experience, he (Tim) matures overnight and takes control of the maintenance of the tavern, excited about impressing Sam with his (Sam) new knowledge and competency"
P,26,They reunite happily and Tim learns that Sam has decided to reenlist
P,27,"Tim disapproves, but he (Tim) realizes that arguing will not change Sam's mind"
P,32,"Sam returns to Redding with his (Sam) troops and advises Tim to kill the cows and hide the meat so as to prevent cattle theft, but Tim is hesitant"
P,35,"Both Tim and his (Tim) mother talk to the rebel officers, pleading Sam's innocence, but the general will not change his (Tim) mind"
P,37,"On February 16, 1779, Tim looks on as Sam is publicly shot"
