Relationship,Sentence_Id,Sentence
P,8,"The next day, Raskolnikov receives a letter from his (student) mother, Pulcheria Alexandrovna, informing him (student) that his (student) sister, Dunya, is engaged to be married to a government official named Luzhin and that they are all moving to St"
N,33,Raskolnikov becomes annoyed with Pulcheria Alexandrovna and Dunya and orders them out of the room
P,36,"The next morning, Razumikhin tries to explain Raskolnikov's character to Dunya and Pulcheria Alexandrovna, and then the three return to Raskolnikov's apartment"
P,40,"Dunya tells him (character) that she (sister) is meeting with Luzhin that evening, and that although Luzhin has requested specifically that Raskolnikov not be there, she (sister) would like him (character) to come nevertheless"
P,57,"He (stranger) also tells Raskolnikov that his (stranger) late wife, Marfa Petrovna, left Dunya three thousand rubles in her (wife) will"
P,59,"After Svidrigailov leaves, Raskolnikov and Razumikhin walk to a restaurant to meet Dunya, Pulcheria Alexandrovna, and Luzhin"
N,79,"The scene shifts to the apartment of Luzhin and his (man) roommate, Lebezyatnikov, where Luzhin is nursing his (man) hatred for Raskolnikov, whom he (man) blames for the breaking of his (man) engagement to Dunya"
P,93,Sonya rushes out to find them while Raskolnikov goes back to his (thief) room and talks to Dunya
N,106,"Svidrigailov parts from Raskolnikov and manages to bring Dunya to his (Petrovich) room, where he (Petrovich) threatens to rape her (girl) after she (girl) refuses to marry him (Petrovich)"
P,113,"Raskolnikov, who is visiting his (Petrovich) mother, tells her (mother) that he (Petrovich) will always love her (mother) and then returns to his (Petrovich) room, where he (Petrovich) tells Dunya that he (Petrovich) is planning to confess"
