Relationship,Sentence_Id,Sentence
N,13,"He (Cyrano) nearly tells her (Roxane) his (Cyrano) feelings, but she (Roxane) confides in him (Cyrano) that she (Roxane) loves Christian, who will soon join Cyrano's company of guards, the Cadets of Gascoyne"
P,14,"She (Roxane) asks Cyrano to protect Christian, and he (Cyrano) agrees"
N,17,"When the cadets arrive, Christian tries to prove his (Christian) courage by insulting Cyrano's nose--an act generally considered fatal"
P,18,"Instead of killing Christian, however, Cyrano embraces him (Cyrano) and tells him (Cyrano) about Roxane's feelings"
N,21,Then Cyrano has a bright idea: Cyrano can write to Roxane -pretending to be Christian
N,24,"One night soon after, Roxane confides in Cyrano that she (Roxane) thinks Christian is the most ravishing poet in the world"
N,26,"Christian tells Cyrano he (Cyrano) no longer wants Cyrano's help, and then makes a fool of himself trying to speak seductively to Roxane"
P,28,"Thinking quickly, Cyrano makes Christian stand in front of Roxane's balcony and speak to her (Roxane) while Cyrano stands under the balcony whispering to Christian what to say"
P,29,"Eventually, Cyrano shoves Christian aside and, under cover of darkness, pretends to be Christian, wooing Roxane himself"
P,30,"In the process, he (Cyrano) wins a kiss for Christian"
P,33,"Cyrano writes to Roxane every single day, using Christian's name"
N,38,"But Christian has guessed Cyrano's secret feelings for Roxane, and he (Christian) forces Cyrano to tell her (Roxane) the truth and make her (Roxane) choose between them"
N,39,"On the cusp of revealing his (Cyrano) feelings, Cyrano is interrupted by a sudden gunshot that kills Christian"
P,49,"As night falls, Cyrano asks to read Christian's last letter to her (Roxane)"
