Relationship,Sentence_Id,Sentence
P,3,"Also in the audience is a young, handsome nobleman named Christian, who confides in his (Christian) friend Ligniere that he (Christian) loves Roxane"
P,13,"He (Cyrano) nearly tells her (Roxane) his (Cyrano) feelings, but she (Roxane) confides in him (Cyrano) that she (Roxane) loves Christian, who will soon join Cyrano's company of guards, the Cadets of Gascoyne"
P,14,"She (Roxane) asks Cyrano to protect Christian, and he (Cyrano) agrees"
P,18,"Instead of killing Christian, however, Cyrano embraces him (Cyrano) and tells him (Cyrano) about Roxane's feelings"
P,20,"He (Christian) considers Roxane an intellectual and sees himself as a simple, unpoetic man"
P,21,Then Cyrano has a bright idea: Cyrano can write to Roxane -pretending to be Christian
P,22,"Christian agrees, welcoming the opportunity to reach Roxane's heart"
P,24,"One night soon after, Roxane confides in Cyrano that she (Roxane) thinks Christian is the most ravishing poet in the world"
P,26,"Christian tells Cyrano he (Cyrano) no longer wants Cyrano's help, and then makes a fool of himself trying to speak seductively to Roxane"
P,28,"Thinking quickly, Cyrano makes Christian stand in front of Roxane's balcony and speak to her (Roxane) while Cyrano stands under the balcony whispering to Christian what to say"
P,29,"Eventually, Cyrano shoves Christian aside and, under cover of darkness, pretends to be Christian, wooing Roxane himself"
P,31,"Roxane and Christian are secretly married by a Capuchin, but their happiness is short-lived: de Guiche, angry to have lost Roxane, declares that he (Christian) is sending the Cadets of Gascoyne to the front lines of the war with Spain"
P,33,"Cyrano writes to Roxane every single day, using Christian's name"
P,37,"She (Roxane) has longed to see Christian, again and brings a feast to the soldiers"
P,38,"But Christian has guessed Cyrano's secret feelings for Roxane, and he (Christian) forces Cyrano to tell her (Roxane) the truth and make her (Roxane) choose between them"
P,49,"As night falls, Cyrano asks to read Christian's last letter to her (Roxane)"
