Relationship,Sentence_Id,Sentence
P,2,"Torvald Helmer, Nora's husband, comes out of his (Helmer) study when he (Helmer) hears her (Nora) arrive"
P,14,Linde about her (Nora) first year of marriage to Torvald
P,16,"Torvald became sick, she (Nora) adds, and the couple had to travel to Italy so that Torvald could recover"
P,23,Nora promises to speak to Torvald and then reveals a great secret to Mrs
P,24,"Linde--without Torvald's knowledge, Nora illegally borrowed money for the trip that she (Nora) and Torvald took to Italy; she (Nora) told Torvald that the money had come from her (Nora) father"
P,37,He (Torvald) asks Nora to use her (Nora) influence to ensure that his (Torvald) position remains secure
P,38,"When she (Nora) refuses, Krogstad points out that he (Torvald) has in his (Torvald) possession a contract that contains Nora's forgery of her (Nora) father's signature"
P,39,"Krogstad blackmails Nora, threatening to reveal her (Nora) crime and to bring shame and disgrace on both Nora and her (Nora) husband if she (Nora) does not prevent Torvald from firing him (Torvald)"
N,40,"Krogstad leaves, and when Torvald returns, Nora tries to convince him (Torvald) not to fire Krogstad, but Torvald will hear nothing of it"
N,54,"Torvald arrives, and Nora again begs him (Torvald) to keep Krogstad employed at the bank, but again Torvald refuses"
P,55,"When Nora presses him (Torvald), he (Torvald) admits that Krogstad's moral behavior isn't all that bothers him (Torvald)--he (Torvald) dislikes Krogstad's overly familiar attitude"
N,56,Torvald and Nora argue until Torvald sends the maid to deliver Krogstad's letter of dismissal
N,59,Rank arrives and tells Nora that he (Torvald) knows he (Torvald) is close to death
P,60,She (Nora) attempts to cheer him (Torvald) up and begins to flirt with him (Torvald)
P,61,She (Nora) seems to be preparing to ask him (Torvald) to intervene on her (Nora) behalf in her (Nora) struggle with Torvald
N,63,Rank reveals to Nora that he (Torvald) is in love with her (Nora)
P,68,He (Torvald) wants respectability and has changed the terms of the blackmail: he (Torvald) now insists to Nora that not only that he (Torvald) be rehired at the bank but that he (Torvald) be rehired in a higher position
P,69,He (Torvald) then puts a letter detailing Nora's debt and forgery in the -Helmers' letterbox
N,72,Linde instructs Nora to delay Torvald from opening the letter as long as possible while she (Nora) goes to speak with Krogstad
P,73,"In order to distract Torvald from the letterbox, Nora begins to practice the tarantella she (Nora) will perform at that evening's costume party"
N,74,"In her (Nora) agitated emotional state, she (Nora) dances wildly and violently, displeasing Torvald"
N,75,Nora manages to make Torvald promise not to open his (Torvald) mail until after she (Nora) performs at the party
N,77,Linde soon returns and says that she (Nora) has left Krogstad a note but that he (Torvald) will be gone until the following evening
P,83,Krogstad is overjoyed and says he (man) will demand his (man) letter back before Torvald can read it and learn Nora's secret
P,85,"Linde, however, insists he (Torvald) leave the letter, because she (Linde) believes both Torvald and Nora will be better off once the truth has been revealed"
P,86,"Soon after Krogstad's departure, Nora and Torvald enter, back from the costume ball"
P,88,"Linde, Torvald tells Nora how desirable she (Nora) looked as she (Nora) danced"
N,90,"Rank, who was also at the party and has come to say goodnight, promptly interrupts Torvald's advances on Nora"
P,95,"Rank's cards constitute his (Torvald) announcement that he (Torvald) will soon die, and she (Nora) informs Torvald of this fact"
P,96,She (Nora) then insists that Torvald read Krogstad's letter
N,98,He (Torvald) calls Nora a hypocrite and a liar and complains that she (Nora) has ruined his (Torvald) happiness
N,99,He (Torvald) declares that she (Nora) will not be allowed to raise their children
P,101,Torvald opens it and discovers that Krogstad has returned Nora's contract -LRB-which contains the forged signature-RRB-
N,102,"Overjoyed, Torvald attempts to dismiss his (Torvald) past insults, but his (Torvald) harsh words have triggered something in Nora"
N,104,"Torvald, Nora asserts, has treated her (Nora) like a ', ""``doll''  (Nora)', 'to be played with and admired"
N,105,"She (Nora) decides to leave Torvald, declaring that she (Nora) must ', '``make sense of -LSB-her (Nora)-RSB-self and everything around her (Nora)"
