Relationship,Sentence_Id,Sentence
P,0,"In the stately London home of his aunt, Lady Brandon, the well-known artist Basil Hallward meets Dorian Gray"
P,1,"Dorian is a cultured, wealthy, and impossibly beautiful young man who immediately captures Basil's artistic imagination"
P,2,"Dorian sits for several portraits, and Basil often depicts him (Basil) as an ancient Greek hero or a mythological figure"
P,4,"Lord Henry, a famous wit who enjoys scandalizing his (Dorian) friends by celebrating youth, beauty, and the selfish pursuit of pleasure, disagrees, claiming that the portrait is Basil's masterpiece"
N,5,"Dorian arrives at the studio, and Basil reluctantly introduces him (Basil) to Lord Henry, who he (Henry) fears will have a damaging influence on the impressionable, young Dorian"
N,6,"Basil's fears are well founded; before the end of their first conversation, Lord Henry upsets Dorian with a speech about the transient nature of beauty and youth"
P,9,"After Dorian's outbursts, Lord Henry reaffirms his (Henry) desire to own the portrait; however, Basil insists the portrait belongs to Dorian"
N,16,"After doing so, he (Dorian) returns home to notice that his (Dorian) face in Basil's portrait of him (Basil) has changed: it now sneers"
N,27,"On a dark, foggy night, Basil Hallward arrives at Dorian's home to confront him (Dorian) about the rumors that plague his (Dorian) reputation"
N,28,"The two argue, and Dorian eventually offers Basil a look at his (Dorian) -LRB-Dorian's-RRB- soul"
N,29,"He (Dorian) shows Basil the now-hideous portrait, and Hallward, horrified, begs him (Dorian) to repent"
N,30,Dorian claims it is too late for penance and kills Basil in a fit of rage
N,37,"In a fury, Dorian picks up the knife he (Dorian) used to stab Basil Hallward and attempts to destroy the painting"

