Relationship,Sentence_Id,Sentence
N,2,"For years, he (Jack) has also pretended to have an irresponsible black-sheep brother named Ernest who leads a scandalous life in pursuit of pleasure and is always getting into trouble of a sort that requires Jack to rush grimly off to his (Jack) assistance"
P,3,"In fact, Ernest is merely Jack's alibi, a phantom that allows him (Ernest) to disappear for days at a time and do as he (Ernest) likes"
P,4,No one but Jack knows that he (Jack) himself is Ernest
P,5,"Ernest is the name Jack goes by in London, which is where he (Jack) really goes on these occasions--probably to pursue the very sort of behavior he (Jack) pretends to disapprove of in his (Jack) imaginary brother"
P,7,"When the play opens, Algernon, who knows Jack as Ernest, has begun to suspect something, having found an inscription inside Jack's cigarette case addressed to "", ""``Uncle Jack''  (Jack)', 'from someone who refers to herself as ', ""``little Cecily"
P,12,"Jack confesses that his (Jack) name isn't really Ernest and that Cecily is his (Jack) ward, a responsibility imposed on him (Jack) by his (Jack) adoptive father's will"
P,17,"Jack is delighted to discover that Gwendolen returns his (Jack) affections, but he (Jack) is alarmed to learn that Gwendolen is fixated on the name Ernest, which she (Cecily) says ', ""``inspires absolute confidence"
N,22,"In Act II, Algernon shows up at Jack's country estate posing as Jack's brother Ernest"
N,23,"Meanwhile, Jack, having decided that Ernest has outlived his (Jack) usefulness, arrives home in deep mourning, full of a story about Ernest having died suddenly in Paris"
N,24,He (Jack) is enraged to find Algernon there masquerading as Ernest but has to go along with the charade
N,28,"Algernon is less enchanted to learn that part of Cecily's interest in him (Jack) derives from the name Ernest, which, unconsciously echoing Gwendolen, she (Cecily) says ', ""``inspires absolute confidence"
P,36,"  (Cecily)', 'She (Cecily) notes that Ernest has never mentioned having a ward, and Cecily explains that it is not Ernest Worthing who is her (Cecily) guardian but his (Worthing) brother Jack and, in fact, that she (Cecily) is engaged to be married to Ernest Worthing"
P,42,"The two women demand to know where Jack's brother Ernest is, since both of them are engaged to be married to him (Ernest)"
P,43,Jack is forced to admit that he (Jack) has no brother and that Ernest is a complete fiction
P,51,"However, when Jack and Algernon tell Gwendolen and Cecily that they have both made arrangements to be christened Ernest that afternoon, all is forgiven and the two pairs of lovers embrace"
P,74,"Furthermore, Jack had been originally christened "", ""``Ernest John"
P,75,"  (Jack)', 'All these years Jack has unwittingly been telling the truth: Ernest is his (Jack) name, as is Jack, and he (Jack) does have an unprincipled younger brother--Algernon"
