Relationship,Sentence_Id,Sentence
P,6,"Jack is in love with Gwendolen Fairfax, the cousin of his (Jack) best friend, Algernon Moncrieff"
P,10,"At the beginning of Act I, Jack drops in unexpectedly on Algernon and announces that he (Jack) intends to propose to Gwendolen"
P,16,"Gwendolen and her (Cecily) mother, Lady Bracknell, arrive, which gives Jack an opportunity to propose to Gwendolen"
P,17,"Jack is delighted to discover that Gwendolen returns his (Jack) affections, but he (Jack) is alarmed to learn that Gwendolen is fixated on the name Ernest, which she (Cecily) says ', ""``inspires absolute confidence"
P,21,She (Bracknell) forbids the match between Jack and Gwendolen and sweeps out of the house
P,28,"Algernon is less enchanted to learn that part of Cecily's interest in him (Jack) derives from the name Ernest, which, unconsciously echoing Gwendolen, she (Cecily) says ', ""``inspires absolute confidence"
P,31,"Meanwhile, Gwendolen arrives, having decided to pay Jack an unexpected visit"
P,33,"Cecily has no idea how Gwendolen figures into Jack's life, and Gwendolen, for her (Cecily) part, has no idea who Cecily is"
P,41,Each of the young ladies points out that the other has been deceived: Cecily informs Gwendolen that her (Cecily) fiancé is really named Jack and Gwendolen informs Cecily that hers is really called Algernon
P,49,"Gwendolen asks Jack whether he (Jack) pretended to have a brother in order to come into London to see her (Cecily) as often as possible, and she (Cecily) interprets his (Jack) evasive reply as an affirmation"
P,51,"However, when Jack and Algernon tell Gwendolen and Cecily that they have both made arrangements to be christened Ernest that afternoon, all is forgiven and the two pairs of lovers embrace"
P,55,"Gwendolen again informs Lady Bracknell of her (Bracknell) engagement to Jack, and Lady Bracknell reiterates that a union between them is out of the question"
P,62,"As soon as she (Bracknell) consents to his (Jack) marriage to Gwendolen, Cecily can have his (Jack) consent to marry Algernon"
