Relationship,Sentence_Id,Sentence
P,4,"At a barbecue at the Wilkes plantation the next day, Scarlett confesses her (Ashley) feelings to Ashley"
N,5,"He (Scarlett) tells her (Ashley) that he (Scarlett) does love her (Ashley) but that he (Scarlett) is marrying Melanie because she (Ashley) is similar to him (Scarlett), whereas he (Scarlett) and Scarlett are very different"
N,6,Scarlett slaps Ashley and he (Scarlett) leaves the room
N,7,Suddenly Scarlett realizes that she (Ashley) is not alone
N,11,"She (Melanie) spitefully agrees to marry him (Scarlett), hoping to hurt Ashley"
N,12,"Over the course of two months, Scarlett and Charles marry, Charles joins the army and dies of the measles, and Scarlett learns that she (Ashley) is pregnant"
N,13,"After Scarlett gives birth to a son, Wade, she (Ashley) becomes bored and unhappy"
P,18,Scarlett and Melanie fear for Ashley's safety
P,20,"Scarlett desperately wants to return home to Tara, but she (Tara) has promised Ashley she (Ashley) will stay with the pregnant Melanie, who could give birth at any time"
P,28,"At last the war ends, word comes that Ashley is free and on his (Scarlett) way home, and a stream of returning soldiers begins pouring through Tara"
P,48,"Scarlett's feelings for Ashley have diminished into a warm, sympathetic friendship, but Ashley's jealous sister, India, finds them in a friendly embrace and spreads the rumor that they are having an affair"
P,53,Melanie makes Scarlett promise to look after Ashley and Beau
N,54,Scarlett realizes that she (Ashley) loves and depends on Melanie and that Ashley has been only a fantasy for her (Ashley)
