Relationship,Sentence_Id,Sentence
P,1,"Discovered first by a pair of watchmen, then by the scholar Horatio, the ghost resembles the recently deceased King Hamlet, whose brother Claudius has inherited the throne and married the king's widow, Queen Gertrude"
N,2,"When Horatio and the watchmen bring Prince Hamlet, the son of Gertrude and the dead king, to see the ghost, it speaks to him (king), declaring ominously that it is indeed his (king) father's spirit, and that he (king) was murdered by none other than Claudius"
N,6,"They employ a pair of Hamlet's friends, Rosencrantz and Guildenstern, to watch him (Claudius)"
N,7,"When Polonius, the pompous Lord Chamberlain, suggests that Hamlet may be mad with love for his (Chamberlain) daughter, Ophelia, Claudius agrees to spy on Hamlet in conversation with the girl"
N,8,"But though Hamlet certainly seems mad, he (Claudius) does not seem to love Ophelia: he (Claudius) orders her (Ophelia) to enter a nunnery and declares that he (Claudius) wishes to ban marriages"
N,9,"A group of traveling actors comes to Elsinore, and Hamlet seizes upon an idea to test his (Claudius) uncle's guilt"
N,10,"He (Claudius) will have the players perform a scene closely resembling the sequence by which Hamlet imagines his (Claudius) uncle to have murdered his (Claudius) father, so that if Claudius is guilty, he (Claudius) will surely react"
N,13,Hamlet goes to kill Claudius but finds him (Claudius) praying
N,14,"Since he (Claudius) believes that killing Claudius while in prayer would send Claudius's soul to heaven, Hamlet considers that it would be an inadequate revenge and decides to wait"
N,15,"Claudius, now frightened of Hamlet's madness and fearing for his (Claudius) own safety, orders that Hamlet be sent to England at once"
N,16,"Hamlet goes to confront his (Claudius) mother, in whose bedchamber Polonius has hidden behind a tapestry"
N,20,"However, Claudius's plan for Hamlet includes more than banishment, as he (Claudius) has given Rosencrantz and Guildenstern sealed orders for the King of England demanding that Hamlet be put to death"
N,23,Claudius convinces him (Claudius) that Hamlet is to blame for his (Claudius) father's and sister's deaths
N,24,"When Horatio and the king receive letters from Hamlet indicating that the prince has returned to Denmark after pirates attacked his (prince) ship en route to England, Claudius concocts a plan to use Laertes' desire for revenge to secure Hamlet's death"
N,25,"Laertes will fence with Hamlet in innocent sport, but Claudius will poison Laertes' blade so that if he (Claudius) draws blood, Hamlet will die"
N,30,A foolish courtier named Osric arrives on Claudius's orders to arrange the fencing match between Hamlet and Laertes
N,35,"First, Laertes is cut by his (king) own sword's blade, and, after revealing to Hamlet that Claudius is responsible for the queen's death, he (Claudius) dies from the blade's poison"
N,36,Hamlet then stabs Claudius through with the poisoned sword and forces him (Claudius) to drink down the rest of the poisoned wine
N,37,"Claudius dies, and Hamlet dies immediately after achieving his (Claudius) revenge"
