Relationship,Sentence_Id,Sentence
P,0,"Heart of Darkness centers around Marlow, an introspective sailor, and his (sailor) journey up the Congo River to meet Kurtz, reputed to be an idealistic man of great abilities"
P,10,"Marlow eventually gets the parts he (Kurtz) needs to repair his (Kurtz) ship, and he (Kurtz) and the manager set out with a few agents -LRB-whom Marlow calls pilgrims because of their strange habit of carrying long, wooden staves wherever they go-RRB- and a crew of cannibals on a long, difficult voyage up the river"
P,12,"Marlow and his (Kurtz) crew come across a hut with stacked firewood, together with a note saying that the wood is for them but that they should approach cautiously"
P,16,"Not long after, Marlow and his (helmsman) companions arrive at Kurtz's Inner Station, expecting to find him (Kurtz) dead, but a half-crazed Russian trader, who meets them as they come ashore, assures them that everything is fine and informs them that he (trader) is the one who left the wood"
P,25,"The Russian reveals to Marlow, after swearing him (Kurtz) to secrecy, that Kurtz had ordered the attack on the steamer to make them believe he (Kurtz) was dead in order that they might turn back and leave him (Kurtz) to his (Kurtz) plans"
P,27,"Kurtz disappears in the night, and Marlow goes out in search of him (Kurtz), finding him (Kurtz) crawling on all fours toward the native camp"
P,28,Marlow stops him (Kurtz) and convinces him (Kurtz) to return to the ship
P,30,"Marlow listens to Kurtz talk while he (Kurtz) pilots the ship, and Kurtz entrusts Marlow with a packet of personal documents, including an eloquent pamphlet on civilizing the savages which ends with a scrawled message that says, ', ""``Exterminate all the brutes!''  (thesavages)', 'The steamer breaks down, and they have to stop for repairs"
P,31,"Kurtz dies, uttering his (Kurtz) last words--', ""``The horror! The horror!'' (Kurtz)', '--in the presence of the confused Marlow"
P,35,"She (fiancée) asks what his (Kurtz) last words were, but Marlow cannot bring himself to shatter her (fiancée) illusions with the truth"
