Relationship,Sentence_Id,Sentence
P,1,"The first plot tracks McCandless's journey into the wild, while the second tracks the development of Krakauer's, and, implicitly, the reader's, understanding of McCandless's character and motivations"
P,7,"Krakauer then visits with Wayne Westerberg, who knew Christopher McCandless as "", ""``Alex McCandless''  (McCandless/ChristopherMcCandless/Christopher)', 'and who provides an initial character sketch of the young man, Krakauer in a bar in Carthage, Wisconsin"
P,9,"Details from McCandless's comfortable, middle-class Virginia upbringing and his (McCandless) dislike of materialism further Krakauer's understanding of the young man"
P,19,"Krakauer receives a letter from and then meets Ronald Franz, who describes to Krakauer the father-son relationship he (Krakauer) established with McCandless"
P,21,"Krakauer next visits Wayne Westerberg again and reconstructs McCandless's last month in Carthage, South Dakota by speaking with Westerberg's girlfriend and his (McCandless) mother"
P,23,"Krakauer's investigation then move through his (McCandless) revelation that many readers of his (McCandless) original Outdoor magazine article about McCandless thought that Christopher McCandless was an incompetent, romantic fool"
P,28,"Krakauer next visits with McCandless's family, beginning with his (McCandless) father, Walt McCandless, and his (McCandless) mother, Billie McCandless"
P,29,Billie shows Krakauer photographs of Christopher's childhood and Walt describes the heartbreak his (McCandless) son has caused the family
P,30,Krakauer's investigation then picks up a new subject: McCandless's frustration with his (McCandless) family
P,32,Krakauer theorizes that McCandless's anger at this long-kept family secret offers some motivation for his (McCandless) desire to leave his (McCandless) life behind
P,35,"Krakauer attempts the glacier's north face and is rebuffed, then spends three days trapped at his (McCandless) base camp"
P,37,Recalling this story allows Krakauer conclude that Christopher McCandless must not have been suicidal when he (McCandless) began his (McCandless) trip
P,38,Jon Krakauer's own trip to Denali National Park and the abandoned bus where McCandless died closes out the narrative
P,39,"Along with three experienced Alaskans, Krakauer crosses the same river whose flooding prevented McCandless from leaving the wild"
