Relationship,Sentence_Id,Sentence
P,2,"Caesar enters with his (Caesar) entourage, including the military and political figures Brutus, Cassius, and Antony"
P,16,"Upon seeing Cassius, Caesar tells Antony that he (Caesar) deeply distrusts Cassius"
P,17,"Caesar departs, and another politician, Casca, tells Brutus and Cassius that, during the celebration, Antony offered the crown to Caesar three times and the people cheered, but Caesar refused it each time"
N,42,"Antony, having been led away on a false pretext, returns and pledges allegiance to Brutus but weeps over Caesar's body"
N,44,"When Antony asks why they killed Caesar, Brutus replies that he (Caesar) will explain their purpose in a funeral oration"
N,46,"The conspirators depart, and Antony, alone now, swears that Caesar's death shall be avenged"
N,51,"Antony appears with Caesar's body, and Brutus departs after turning the pulpit over to Antony"
N,52,"Repeatedly referring to Brutus as "", ""``an honorable man,''  (Brutus)', ""Antony's speech becomes increasingly sarcastic; questioning the claims that Brutus made in his (Brutus) speech that Caesar acted only out of ambition, Antony points out that Caesar brought much wealth and glory to Rome, and three times turned down offers of the crown"
N,53,Antony then produces Caesar's will but announces that he (Caesar) will not read it for it would upset the people inordinately
N,58,"Meanwhile, Caesar's adopted son and appointed successor, Octavius, arrives in Rome and forms a three-person coalition with Antony and Lepidus"
