Relationship,Sentence_Id,Sentence
P,10,"Into the void of Connie's life comes Oliver Mellors, the gamekeeper on Clifford's estate, newly returned from serving in the army"
P,11,"Mellors is aloof and derisive, and yet Connie feels curiously drawn to him (Clifford) by his (Clifford) innate nobility and grace, his (Clifford) purposeful isolation, his (Clifford) undercurrents of natural sensuality"
P,12,"After several chance meetings in which Mellors keeps her (Connie) at arm's length, reminding her (Connie) of the class distance between them, they meet by chance at a hut in the forest, where they have sex"
P,14,"One day, Connie and Mellors meet by coincidence in the woods, and they have sex on the forest floor"
P,16,"This is a revelatory and profoundly moving experience for Connie; she (Connie) begins to adore Mellors, feeling that they have connected on some deep sensual level"
P,17,"She (Connie) is proud to believe that she (Connie) is pregnant with Mellors' child: he (Clifford) is a real, ', ""``living''  (he)', 'man, as opposed to the emotionally-dead intellectuals and the dehumanized industrial workers"
P,20,"While she (Connie) is gone, Mellors' old wife returns, causing a scandal"
P,21,"Connie returns to find that Mellors has been fired as a result of the negative rumors spread about him (man) by his (man) resentful wife, against whom he (man) has initiated divorce proceedings"
P,22,"Connie admits to Clifford that she (Connie) is pregnant with Mellors' baby, but Clifford refuses to give her (Connie) a divorce"
P,23,"The novel ends with Mellors working on a farm, waiting for his (Clifford) divorce, and Connie living with her (Connie) sister, also waiting: the hope exists that, in the end, they will be together"
