Relationship,Sentence_Id,Sentence
P,0,"Many years after king Agamemnon's murder at the hands of his (Agamemnon) wife Clytamnestra and her (wife) lover Aigisthos, his (Agamemnon) son Orestes returns home with Pylades to mourn at his (Agamemnon) grave"
P,4,"While standing at Agamemnon's grave, Orestes meets up with his (Agamemnon) sister Electra, whom he (Agamemnon) has not seen since he (Agamemnon) was a child"
P,7,"Orestes and Electra, encouraged by the chorus, discuss how much they love their father and hate their mother, and pray together in order to invoke the spirit of Agamemnon to come to their aid in their quest for vengeance"
P,9,"Together, Orestes and Electra plot to avenge Agamemnon's death"
P,10,"With the eager support of the chorus, Orestes concocts a plan wherein he (Agamemnon) will gain admittance to the palace and kill Aigisthos on the throne"
P,12,"Unexpectedly, Clytamnestra comes to the door when Orestes knocks, thus forcing him (Agamemnon) to fabricate a story about his (Agamemnon) origins"
P,13,He (Agamemnon) claims to be a stranger bearing sad news of the death of Orestes
P,14,"Clytamnestra laments, and sends Cilissa, Orestes's old nurse, to tell Aigisthos to come with his (Agamemnon) bodyguard to hear the news"
P,17,"Aigisthos appears briefly on stage, after which he (Agamemnon) goes back into the palace to meet Orestes"
P,21,"The climax of the play follows, as Orestes resolves to carry out his (Agamemnon) vengeance on his (Agamemnon) mother"
P,23,"Pylades steps in at this moment, and reminds Orestes of his (Agamemnon) duty to Apollo"
P,24,Orestes regains his (Agamemnon) resolve and deflects all of Clytamnestra's pitiful arguments
